Party;Seats ;Seats change;Seats contested;Votes;Votes, of total (%);Change (%)
SNP;56;50;59;1454436;50,00;30,10
Labour;1;40;59;707147;24,30;17,70
Conservative;1;0;59;434097;14,90;1,80
Liberal Democrats;1;10;59;219675;7,50;11,30
UKIP;0;0;41;47078;1,60;0,90
Scottish Green;0;0;32;39205;1,30;0,70
CISTA;0;0;8;1807;0,10;N/A
TUSC;0;0;10;172;0,10;0,00
Scottish Christian;0;0;2;1467;0,10;0,10
Scottish Socialist;0;0;4;895;0,00;0,10
National Front;0;0;2;289;0,00;N/A
Other parties;0;0;11;2649;0,10;
